,date,catch_volume,id_ves,predict_volume,lower_bond,upper_bond,anomalies
0,2022-01-01,31.874,1628,,,,0
1,2022-01-02,80.147,1628,,,,0
2,2022-01-05,10.149,1628,,,,0
3,2022-01-06,208.182,1628,82.588,-29.630643361540393,194.80664336154038,1
4,2022-01-07,150.686,1628,112.291,0.07235663845960971,224.50964336154038,0
5,2022-01-08,150.03,1628,129.76175,17.54310663845962,241.9803933615404,0
6,2022-01-09,90.296,1628,149.7985,37.5798566384596,262.0171433615404,0
7,2022-01-10,188.039,1628,144.76275,32.544106638459624,256.9813933615404,0
8,2022-01-11,104.304,1628,133.16725,20.94860663845961,245.38589336154038,0
9,2022-01-12,175.729,1628,139.592,27.373356638459626,251.8106433615404,0
10,2022-01-13,140.654,1628,152.18150000000003,39.96285663845964,264.4001433615404,0
11,2022-01-14,82.269,1628,125.73900000000002,13.520356638459631,237.95764336154042,0
12,2022-01-17,73.086,1628,117.93450000000001,5.715856638459627,230.1531433615404,0
13,2022-01-18,156.359,1628,113.09200000000001,0.8733566384596259,225.3106433615404,0
14,2022-01-19,202.509,1628,128.55575000000002,16.33710663845963,240.7743933615404,0
15,2022-01-20,147.445,1628,144.84975,32.63110663845961,257.0683933615404,0
16,2022-01-21,92.969,1628,149.8205,37.60185663845962,262.03914336154037,0
17,2022-01-22,139.457,1628,145.595,33.37635663845961,257.81364336154036,0
18,2022-01-25,150.146,1628,132.50425,20.285606638459626,244.7228933615404,0
19,2022-01-26,180.283,1628,140.71375,28.495106638459617,252.9323933615404,0
20,2022-01-27,187.113,1628,164.24975,52.03110663845962,276.4683933615404,0
21,2022-01-28,160.063,1628,169.40125,57.18260663845962,281.6198933615404,0
22,2022-01-29,150.455,1628,169.4785,57.25985663845961,281.6971433615404,0
23,2022-01-30,150.185,1628,161.954,49.73535663845962,274.1726433615404,0
24,2022-01-31,130.659,1628,147.84050000000002,35.62185663845963,260.0591433615404,0
25,2022-02-01,187.692,1628,154.74775000000002,42.52910663845964,266.96639336154044,0
26,2022-02-02,204.941,1628,168.36925000000002,56.150606638459635,280.5878933615404,0
27,2022-02-03,218.369,1628,185.41525000000001,73.19660663845963,297.6338933615404,0
28,2022-02-04,228.413,1628,209.85375,97.6351066384596,322.0723933615404,0
29,2022-02-05,158.327,1628,202.5125,90.2938566384596,314.7311433615404,0
30,2022-02-08,100.251,1628,176.34000000000003,64.12135663845964,288.5586433615404,0
31,2022-02-09,200.002,1628,171.74825,59.529606638459626,283.96689336154043,0
32,2022-02-10,210.112,1628,167.173,54.954356638459615,279.3916433615404,0
33,2022-02-11,200.156,1628,177.63025000000002,65.41160663845963,289.8488933615404,0
34,2022-02-12,150.532,1628,190.20050000000003,77.98185663845965,302.4191433615404,0
35,2022-02-13,144.936,1628,176.43400000000003,64.21535663845964,288.6526433615404,0
36,2022-02-14,120.279,1628,153.97575,41.75710663845962,266.1943933615404,0
37,2022-02-15,190.316,1628,151.51575000000003,39.29710663845964,263.7343933615404,0
38,2022-02-16,204.825,1628,165.089,52.87035663845961,277.3076433615404,0
39,2022-02-17,205.365,1628,180.19625000000002,67.97760663845963,292.4148933615404,0
40,2022-02-18,200.195,1628,200.17525000000003,87.95660663845965,312.39389336154045,0
41,2022-02-19,49.634,1628,165.00475000000003,52.78610663845964,277.2233933615404,1
42,2022-02-20,64.288,1628,129.8705,17.651856638459606,242.08914336154038,0
43,2022-02-21,217.212,1628,132.83225,20.6136066384596,245.05089336154037,0
44,2022-02-22,158.558,1628,122.42300000000002,10.204356638459629,234.6416433615404,0
45,2022-02-24,70.153,1628,127.55275000000002,15.33410663845963,239.7713933615404,0
46,2022-02-25,222.267,1628,167.0475,54.82885663845963,279.2661433615404,0
47,2022-02-26,181.44,1628,158.10450000000003,45.88585663845964,270.3231433615404,0
48,2022-02-27,177.025,1628,162.72125000000003,50.50260663845964,274.9398933615404,0
49,2022-03-03,80.417,1628,165.28725000000003,53.06860663845964,277.5058933615404,0
50,2022-03-04,170.52,1628,152.3505,40.131856638459624,264.5691433615404,0
51,2022-03-05,215.591,1628,160.88825000000003,48.66960663845964,273.1068933615404,0
52,2022-03-06,207.565,1628,168.52325000000002,56.30460663845963,280.7418933615404,0
53,2022-03-07,216.788,1628,202.616,90.39735663845963,314.83464336154043,0
54,2022-03-08,190.432,1628,207.59400000000002,95.37535663845964,319.8126433615404,0
55,2022-03-09,212.234,1628,206.75475000000003,94.53610663845964,318.9733933615404,0
56,2022-03-10,218.138,1628,209.39800000000002,97.17935663845964,321.6166433615404,0
57,2022-03-11,214.78,1628,208.89600000000002,96.67735663845963,321.1146433615404,0
58,2022-03-12,200.118,1628,211.3175,99.09885663845961,323.5361433615404,0
59,2022-03-13,200.387,1628,208.35575000000003,96.13710663845964,320.5743933615404,0
60,2022-03-14,90.307,1628,176.39800000000002,64.17935663845964,288.6166433615404,0
61,2022-03-16,64.403,1628,138.80375000000004,26.58510663845965,251.02239336154042,0
62,2022-03-17,140.268,1628,123.84125,11.622606638459615,236.0598933615404,0
63,2022-03-18,200.233,1628,123.80275000000003,11.584106638459645,236.02139336154042,0
64,2022-03-19,200.001,1628,151.22625000000002,39.007606638459634,263.4448933615404,0
65,2022-03-20,201.584,1628,185.5215,73.30285663845962,297.7401433615404,0
66,2022-03-21,200.542,1628,200.59,88.37135663845962,312.80864336154036,0
67,2022-03-22,200.272,1628,200.59975000000003,88.38110663845964,312.8183933615404,0
68,2022-03-23,200.05,1628,200.61200000000002,88.39335663845964,312.8306433615404,0
