,date,catch.volume,id.ves,id.own,lower_bond,upper_bond,anomalies
0,2022-01-01,31.874,1628,961,,,0
1,2022-01-02,80.147,1628,961,,,0
2,2022-01-05,10.149,1628,961,,,0
3,2022-01-06,208.182,1628,961,-29.630643361540393,194.80664336154038,1
4,2022-01-07,150.686,1628,961,0.07235663845960971,224.50964336154038,0
5,2022-01-08,150.03,1628,961,17.54310663845962,241.9803933615404,0
6,2022-01-09,90.296,1628,961,37.5798566384596,262.0171433615404,0
7,2022-01-10,188.039,1628,961,32.544106638459624,256.9813933615404,0
8,2022-01-11,104.304,1628,961,20.94860663845961,245.38589336154038,0
9,2022-01-12,175.729,1628,961,27.373356638459626,251.8106433615404,0
10,2022-01-13,140.654,1628,961,39.96285663845964,264.4001433615404,0
11,2022-01-14,82.269,1628,961,13.520356638459631,237.95764336154042,0
12,2022-01-17,73.086,1628,961,5.715856638459627,230.1531433615404,0
13,2022-01-18,156.359,1628,961,0.8733566384596259,225.3106433615404,0
14,2022-01-19,202.509,1628,961,16.33710663845963,240.7743933615404,0
15,2022-01-20,147.445,1628,961,32.63110663845961,257.0683933615404,0
16,2022-01-21,92.969,1628,961,37.60185663845962,262.03914336154037,0
17,2022-01-22,139.457,1628,961,33.37635663845961,257.81364336154036,0
18,2022-01-25,150.146,1628,961,20.285606638459626,244.7228933615404,0
19,2022-01-26,180.283,1628,961,28.495106638459617,252.9323933615404,0
20,2022-01-27,187.113,1628,961,52.03110663845962,276.4683933615404,0
21,2022-01-28,160.063,1628,961,57.18260663845962,281.6198933615404,0
22,2022-01-29,150.455,1628,961,57.25985663845961,281.6971433615404,0
23,2022-01-30,150.185,1628,961,49.73535663845962,274.1726433615404,0
24,2022-01-31,130.659,1628,961,35.62185663845963,260.0591433615404,0
25,2022-02-01,187.692,1628,961,42.52910663845964,266.96639336154044,0
26,2022-02-02,204.941,1628,961,56.150606638459635,280.5878933615404,0
27,2022-02-03,218.369,1628,961,73.19660663845963,297.6338933615404,0
28,2022-02-04,228.413,1628,961,97.6351066384596,322.0723933615404,0
29,2022-02-05,158.327,1628,961,90.2938566384596,314.7311433615404,0
30,2022-02-08,100.251,1628,961,64.12135663845964,288.5586433615404,0
31,2022-02-09,200.002,1628,961,59.529606638459626,283.96689336154043,0
32,2022-02-10,210.112,1628,961,54.954356638459615,279.3916433615404,0
33,2022-02-11,200.156,1628,961,65.41160663845963,289.8488933615404,0
34,2022-02-12,150.532,1628,961,77.98185663845965,302.4191433615404,0
35,2022-02-13,144.936,1628,961,64.21535663845964,288.6526433615404,0
36,2022-02-14,120.279,1628,961,41.75710663845962,266.1943933615404,0
37,2022-02-15,190.316,1628,961,39.29710663845964,263.7343933615404,0
38,2022-02-16,204.825,1628,961,52.87035663845961,277.3076433615404,0
39,2022-02-17,205.365,1628,961,67.97760663845963,292.4148933615404,0
40,2022-02-18,200.195,1628,961,87.95660663845965,312.39389336154045,0
41,2022-02-19,49.634,1628,961,52.78610663845964,277.2233933615404,1
42,2022-02-20,64.288,1628,961,17.651856638459606,242.08914336154038,0
43,2022-02-21,217.212,1628,961,20.6136066384596,245.05089336154037,0
44,2022-02-22,158.558,1628,961,10.204356638459629,234.6416433615404,0
45,2022-02-24,70.153,1628,961,15.33410663845963,239.7713933615404,0
46,2022-02-25,222.267,1628,961,54.82885663845963,279.2661433615404,0
47,2022-02-26,181.44,1628,961,45.88585663845964,270.3231433615404,0
48,2022-02-27,177.025,1628,961,50.50260663845964,274.9398933615404,0
49,2022-03-03,80.417,1628,961,53.06860663845964,277.5058933615404,0
50,2022-03-04,170.52,1628,961,40.131856638459624,264.5691433615404,0
51,2022-03-05,215.591,1628,961,48.66960663845964,273.1068933615404,0
52,2022-03-06,207.565,1628,961,56.30460663845963,280.7418933615404,0
53,2022-03-07,216.788,1628,961,90.39735663845963,314.83464336154043,0
54,2022-03-08,190.432,1628,961,95.37535663845964,319.8126433615404,0
55,2022-03-09,212.234,1628,961,94.53610663845964,318.9733933615404,0
56,2022-03-10,218.138,1628,961,97.17935663845964,321.6166433615404,0
57,2022-03-11,214.78,1628,961,96.67735663845963,321.1146433615404,0
58,2022-03-12,200.118,1628,961,99.09885663845961,323.5361433615404,0
59,2022-03-13,200.387,1628,961,96.13710663845964,320.5743933615404,0
60,2022-03-14,90.307,1628,961,64.17935663845964,288.6166433615404,0
61,2022-03-16,64.403,1628,961,26.58510663845965,251.02239336154042,0
62,2022-03-17,140.268,1628,961,11.622606638459615,236.0598933615404,0
63,2022-03-18,200.233,1628,961,11.584106638459645,236.02139336154042,0
64,2022-03-19,200.001,1628,961,39.007606638459634,263.4448933615404,0
65,2022-03-20,201.584,1628,961,73.30285663845962,297.7401433615404,0
66,2022-03-21,200.542,1628,961,88.37135663845962,312.80864336154036,0
67,2022-03-22,200.272,1628,961,88.38110663845964,312.8183933615404,0
68,2022-03-23,200.05,1628,961,88.39335663845964,312.8306433615404,0
69,2022-03-24,200.09,1628,961,88.01985663845963,312.4571433615404,0
70,2022-03-25,33.88,1628,961,46.35435663845962,270.7916433615404,1
71,2022-03-26,45.495,1628,961,7.660106638459638,232.0973933615404,0
72,2022-03-27,202.742,1628,961,8.333106638459611,232.77039336154039,0
73,2022-03-28,120.047,1628,961,-11.677643361540376,212.75964336154038,0
74,2022-03-29,111.789,1628,961,7.799606638459622,232.2368933615404,0
75,2022-03-30,196.385,1628,961,45.522106638459604,269.9593933615404,0
76,2022-03-31,14.902,1628,961,-1.4378933615403753,222.9993933615404,0
