,date,catch_volume,id_own,predict_volume,lower_bond,upper_bond,anomalies
0,2022-01-01,31.874,961,,,,0
1,2022-01-02,169.866,961,,,,0
2,2022-01-03,577.346,961,,,,0
3,2022-01-04,663.9300000000001,961,360.754,-156.86318020608826,878.3711802060883,0
4,2022-01-05,345.875,961,439.25425,-78.36293020608827,956.8714302060882,0
5,2022-01-06,576.795,961,540.9865,23.3693197939117,1058.6036802060883,0
6,2022-01-07,612.342,961,549.7355,32.11831979391172,1067.3526802060883,0
7,2022-01-08,468.207,961,500.80475,-16.812430206088266,1018.4219302060883,0
8,2022-01-09,697.594,961,588.7345,71.11731979391175,1106.3516802060883,0
9,2022-01-10,784.185,961,640.582,122.96481979391172,1158.1991802060884,0
10,2022-01-11,824.598,961,693.646,176.02881979391168,1211.2631802060882,0
11,2022-01-12,1319.16,961,906.3842500000001,388.7670697939118,1424.0014302060883,0
12,2022-01-13,945.952,961,968.4737500000001,450.85656979391183,1486.0909302060884,0
13,2022-01-14,446.224,961,883.9835,366.36631979391177,1401.6006802060883,0
14,2022-01-15,290.523,961,750.4647500000001,232.84756979391182,1268.0819302060884,0
15,2022-01-16,336.03999999999996,961,504.68475,-12.93243020608827,1022.3019302060883,0
16,2022-01-17,470.671,961,385.8645,-131.75268020608826,903.4816802060883,0
17,2022-01-18,605.583,961,425.70425,-91.91293020608828,943.3214302060883,0
18,2022-01-19,692.6809999999999,961,526.24375,8.626569793911699,1043.8609302060881,0
19,2022-01-20,508.93399999999997,961,569.4672499999999,51.85006979391164,1087.0844302060882,0
20,2022-01-21,490.556,961,574.4385,56.8213197939117,1092.0556802060883,0
21,2022-01-22,531.91,961,556.02025,38.403069793911754,1073.6374302060883,0
22,2022-01-23,427.593,961,489.74825,-27.868930206088294,1007.3654302060883,0
23,2022-01-24,911.048,961,590.27675,72.65956979391171,1107.8939302060883,0
24,2022-01-25,744.7239999999999,961,653.81875,136.20156979391174,1171.4359302060884,0
25,2022-01-26,634.818,961,679.54575,161.92856979391172,1197.1629302060883,0
26,2022-01-27,554.179,961,711.19225,193.57506979391167,1228.809430206088,0
27,2022-01-28,219.884,961,538.40125,20.784069793911726,1056.0184302060884,0
28,2022-01-29,282.001,961,422.7205,-94.89668020608826,940.3376802060883,0
29,2022-01-30,394.449,961,362.62825,-154.9889302060883,880.2454302060883,0
30,2022-01-31,621.578,961,379.47799999999995,-138.13918020608833,897.0951802060882,0
31,2022-02-01,632.412,961,482.61,-35.007180206088265,1000.2271802060883,0
32,2022-02-02,929.714,961,644.5382500000001,126.92106979391178,1162.1554302060883,0
33,2022-02-03,690.247,961,718.48775,200.87056979391173,1236.1049302060883,0
34,2022-02-04,615.942,961,717.07875,199.46156979391174,1234.6959302060882,0
35,2022-02-05,477.647,961,678.3875,160.77031979391177,1196.0046802060883,0
36,2022-02-06,508.61800000000005,961,573.1134999999999,55.49631979391165,1090.7306802060882,0
37,2022-02-07,606.3,961,552.1267499999999,34.50956979391162,1069.7439302060882,0
38,2022-02-08,594.157,961,546.6804999999999,29.06331979391166,1064.2976802060882,0
39,2022-02-09,469.962,961,544.75925,27.142069793911674,1062.3764302060881,0
40,2022-02-10,476.91700000000003,961,536.834,19.216819793911668,1054.4511802060883,0
41,2022-02-11,1552.537,961,773.39325,255.7760697939117,1291.0104302060881,1
42,2022-02-12,964.668,961,866.021,348.4038197939117,1383.6381802060882,0
43,2022-02-13,937.532,961,982.9134999999999,465.2963197939116,1500.5306802060882,0
44,2022-02-14,521.181,961,993.9794999999999,476.36231979391164,1511.5966802060882,0
45,2022-02-15,554.7139999999999,961,744.5237499999998,226.90656979391156,1262.1409302060881,0
46,2022-02-16,593.7819999999999,961,651.80225,134.18506979391168,1169.4194302060882,0
47,2022-02-17,660.687,961,582.5909999999999,64.97381979391162,1100.2081802060882,0
48,2022-02-18,598.489,961,601.9179999999999,84.30081979391161,1119.5351802060882,0
49,2022-02-19,773.201,961,656.5397499999999,138.92256979391163,1174.1569302060882,0
50,2022-02-20,812.987,961,711.3409999999999,193.72381979391162,1228.9581802060882,0
51,2022-02-21,412.255,961,649.233,131.61581979391167,1166.8501802060882,0
52,2022-02-22,187.444,961,546.4717499999999,28.85456979391165,1064.0889302060882,0
53,2022-02-24,743.077,961,538.94075,21.3235697939117,1056.5579302060883,0
54,2022-02-25,1011.0260000000001,961,588.4504999999999,70.83331979391164,1106.0676802060882,0
55,2022-02-26,675.088,961,654.1587499999999,136.54156979391166,1171.775930206088,0
56,2022-02-27,1086.533,961,878.9309999999999,361.31381979391165,1396.548180206088,0
57,2022-02-28,884.6179999999999,961,914.31625,396.6990697939117,1431.9334302060884,0
58,2022-03-01,643.409,961,822.4119999999999,304.79481979391164,1340.0291802060883,0
59,2022-03-02,198.546,961,703.2764999999999,185.65931979391166,1220.8936802060882,0
60,2022-03-03,275.505,961,500.5195,-17.097680206088285,1018.1366802060883,0
61,2022-03-04,721.694,961,459.7885,-57.82868020608828,977.4056802060883,0
62,2022-03-05,1047.121,961,560.7165,43.09931979391172,1078.3336802060883,0
63,2022-03-06,834.581,961,719.7252500000001,202.1080697939118,1237.3424302060885,0
64,2022-03-07,609.894,961,803.3225,285.7053197939117,1320.9396802060883,0
65,2022-03-08,414.442,961,726.5095,208.89231979391172,1244.1266802060882,0
66,2022-03-09,411.344,961,567.56525,49.94806979391171,1085.1824302060882,0
67,2022-03-10,411.343,961,461.75575,-55.8614302060883,979.3729302060883,0
68,2022-03-11,729.434,961,491.64074999999997,-25.97643020608831,1009.2579302060883,0
